,Unnamed0,SV,GS,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,WARx,Zone,tERA,Kx,BBx,ER,KBB,KBB,AB,PA,H,X1B,X2B,X3B,HR,R,RBI,BB,SO,Pitches,Balls,Strikes,BBy,Ky,OBP,SLG,OPS,WARy,ZSwing,ZContact,Win_Percent
0,1.0,44.0,162.0,7.46,3.07,1.12,0.294,73.7,45.7,12.3,4.05,4.21,10.6,44.8,4.81,19.4,8.0,660.0,2.43,11.4,5649.0,6276.0,1494.0,1003.0,289.0,48.0,154.0,720.0,680.0,490.0,1312.0,23333.0,8283.0,15050.0,7.8,20.9,0.324,0.414,0.738,21.6,64.6,87.6,0.4876543209876543
1,2.0,44.0,162.0,7.25,3.47,1.07,0.305,71.4,43.4,11.3,4.41,4.34,7.0,45.0,4.79,18.6,8.9,699.0,2.09,9.7,5420.0,6034.0,1361.0,992.0,251.0,18.0,100.0,573.0,548.0,471.0,1107.0,22644.0,8183.0,14461.0,7.8,18.3,0.314,0.359,0.674,9.9,65.5,88.2,0.41358024691358025
2,3.0,43.0,162.0,7.73,3.03,1.09,0.298,73.6,45.2,12.0,4.05,4.11,15.8,44.9,4.48,20.3,7.9,646.0,2.55,12.3,5485.0,6007.0,1370.0,887.0,246.0,20.0,217.0,713.0,686.0,418.0,1331.0,22912.0,8137.0,14775.0,7.0,22.2,0.307,0.421,0.728,17.7,69.4,85.4,0.5
3,4.0,40.0,162.0,7.57,2.97,1.11,0.305,71.6,44.1,11.6,4.34,4.17,11.8,44.7,4.68,19.6,7.7,698.0,2.55,11.9,5640.0,6237.0,1495.0,1007.0,294.0,33.0,161.0,748.0,706.0,478.0,1148.0,24709.0,8752.0,15957.0,7.7,18.4,0.325,0.415,0.74,17.9,64.0,88.4,0.48148148148148145
4,5.0,48.0,162.0,8.81,2.51,0.83,0.287,72.7,46.6,10.7,3.36,3.3,22.9,43.0,3.87,23.9,6.8,546.0,3.52,17.1,5491.0,6200.0,1341.0,868.0,272.0,30.0,171.0,689.0,657.0,567.0,1518.0,24646.0,9152.0,15494.0,9.1,24.5,0.321,0.398,0.719,25.4,69.4,83.7,0.5987654320987654
5,6.0,37.0,162.0,8.42,2.94,1.0,0.311,72.9,45.2,11.4,3.98,3.82,17.4,44.4,4.15,22.0,7.7,643.0,2.87,14.3,5533.0,6070.0,1381.0,958.0,260.0,27.0,136.0,622.0,595.0,404.0,1231.0,23140.0,8139.0,15001.0,6.7,20.3,0.306,0.38,0.686,8.8,66.3,87.3,0.4691358024691358
6,7.0,35.0,162.0,7.75,3.37,1.1,0.297,71.7,44.1,12.1,4.35,4.24,10.8,44.1,4.76,20.0,8.7,702.0,2.3,11.3,5571.0,6196.0,1382.0,931.0,257.0,27.0,167.0,640.0,613.0,496.0,1255.0,23534.0,8437.0,15097.0,8.0,20.3,0.312,0.394,0.706,16.5,69.3,87.0,0.3950617283950617
7,8.0,38.0,161.0,8.84,2.67,1.01,0.288,72.8,44.5,11.7,3.68,3.62,21.1,45.4,4.06,23.8,7.2,586.0,3.31,16.6,5439.0,6109.0,1395.0,922.0,303.0,29.0,141.0,669.0,640.0,533.0,1157.0,23795.0,8834.0,14961.0,8.7,18.9,0.325,0.401,0.725,19.1,65.7,88.6,0.5031055900621118
8,9.0,36.0,162.0,7.02,3.65,1.15,0.318,69.9,47.7,13.2,5.04,4.56,8.3,44.3,5.84,17.6,9.2,799.0,1.92,8.4,5572.0,6071.0,1479.0,970.0,274.0,49.0,186.0,737.0,702.0,388.0,1283.0,22661.0,7783.0,14878.0,6.4,21.1,0.315,0.432,0.748,9.7,69.0,85.6,0.41975308641975306
9,10.0,35.0,161.0,6.84,3.04,1.2,0.298,69.7,42.9,12.0,4.64,4.46,11.7,45.8,4.94,17.8,7.9,746.0,2.25,9.9,5605.0,6159.0,1515.0,1026.0,289.0,49.0,151.0,689.0,660.0,455.0,1259.0,23702.0,8399.0,15303.0,7.4,20.4,0.328,0.42,0.748,17.1,68.9,86.8,0.45962732919254656
10,11.0,39.0,162.0,7.99,2.64,0.92,0.285,73.8,47.3,10.9,3.57,3.66,18.9,43.6,3.83,21.5,7.1,572.0,3.03,14.4,5459.0,6073.0,1363.0,829.0,278.0,26.0,230.0,729.0,691.0,486.0,1392.0,23543.0,8633.0,14910.0,8.0,22.9,0.315,0.437,0.752,26.1,70.2,82.5,0.5308641975308642
11,12.0,56.0,162.0,7.19,3.03,0.96,0.286,75.0,42.8,9.9,3.74,4.04,13.8,45.3,4.49,19.0,8.0,603.0,2.37,11.0,5575.0,6116.0,1497.0,1016.0,300.0,42.0,139.0,724.0,689.0,383.0,973.0,22705.0,8075.0,14630.0,6.3,15.9,0.322,0.412,0.734,21.8,66.5,89.9,0.5864197530864198
12,13.0,46.0,162.0,7.63,2.91,1.04,0.285,73.3,41.5,10.0,3.94,4.05,12.2,45.0,4.09,20.0,7.6,631.0,2.62,12.4,5417.0,5990.0,1331.0,891.0,243.0,21.0,176.0,661.0,621.0,435.0,1150.0,22727.0,8257.0,14470.0,7.3,19.2,0.307,0.396,0.702,17.1,64.8,88.6,0.5246913580246914
13,14.0,47.0,162.0,8.69,2.46,0.9,0.296,74.7,50.1,12.1,3.46,3.4,19.7,45.1,3.55,23.5,6.7,555.0,3.53,16.9,5385.0,6090.0,1346.0,870.0,263.0,26.0,187.0,667.0,638.0,563.0,1258.0,23602.0,8783.0,14819.0,9.2,20.7,0.326,0.413,0.739,29.0,67.9,85.9,0.5679012345679012
