"","Season","Team","W","L","SV","GS","K.9","BB.9","HR.9","BABIP","LOB.","GB.","HR.FB","ERA","FIP","WAR.x","Zone.","tERA","K..x","BB..x","ER","K.BB","K.BB.","AB","PA","H","X1B","X2B","X3B","HR","R","RBI","BB","SO","Pitches","Balls","Strikes","BB..y","K..y","OBP","SLG","OPS","WAR.y","Z.Swing.","Z.Contact."
"1",2015,"ARI",79,83,44,162,7.46,3.07,1.12,0.294,"73.7%","45.7%","12.3%",4.05,4.21,10.6,"44.8%",4.81,"19.4%","8.0%",660,2.43,"11.4%",5649,6276,1494,1003,289,48,154,720,680,490,1312,23333,8283,15050,"7.8%","20.9%",0.324,0.414,0.738,21.6,"64.6%","87.6%"
"2",2015,"ATL",67,95,44,162,7.25,3.47,1.07,0.305,"71.4%","43.4%","11.3%",4.41,4.34,7,"45.0%",4.79,"18.6%","8.9%",699,2.09,"9.7%",5420,6034,1361,992,251,18,100,573,548,471,1107,22644,8183,14461,"7.8%","18.3%",0.314,0.359,0.674,9.9,"65.5%","88.2%"
"3",2015,"BAL",81,81,43,162,7.73,3.03,1.09,0.298,"73.6%","45.2%","12.0%",4.05,4.11,15.8,"44.9%",4.48,"20.3%","7.9%",646,2.55,"12.3%",5485,6007,1370,887,246,20,217,713,686,418,1331,22912,8137,14775,"7.0%","22.2%",0.307,0.421,0.728,17.7,"69.4%","85.4%"
"4",2015,"BOS",78,84,40,162,7.57,2.97,1.11,0.305,"71.6%","44.1%","11.6%",4.34,4.17,11.8,"44.7%",4.68,"19.6%","7.7%",698,2.55,"11.9%",5640,6237,1495,1007,294,33,161,748,706,478,1148,24709,8752,15957,"7.7%","18.4%",0.325,0.415,0.74,17.9,"64.0%","88.4%"
"5",2015,"CHC",97,65,48,162,8.81,2.51,0.83,0.287,"72.7%","46.6%","10.7%",3.36,3.3,22.9,"43.0%",3.87,"23.9%","6.8%",546,3.52,"17.1%",5491,6200,1341,868,272,30,171,689,657,567,1518,24646,9152,15494,"9.1%","24.5%",0.321,0.398,0.719,25.4,"69.4%","83.7%"
"6",2015,"CHW",76,86,37,162,8.42,2.94,1,0.311,"72.9%","45.2%","11.4%",3.98,3.82,17.4,"44.4%",4.15,"22.0%","7.7%",643,2.87,"14.3%",5533,6070,1381,958,260,27,136,622,595,404,1231,23140,8139,15001,"6.7%","20.3%",0.306,0.38,0.686,8.8,"66.3%","87.3%"
"7",2015,"CIN",64,98,35,162,7.75,3.37,1.1,0.297,"71.7%","44.1%","12.1%",4.35,4.24,10.8,"44.1%",4.76,"20.0%","8.7%",702,2.3,"11.3%",5571,6196,1382,931,257,27,167,640,613,496,1255,23534,8437,15097,"8.0%","20.3%",0.312,0.394,0.706,16.5,"69.3%","87.0%"
"8",2015,"CLE",81,80,38,161,8.84,2.67,1.01,0.288,"72.8%","44.5%","11.7%",3.68,3.62,21.1,"45.4%",4.06,"23.8%","7.2%",586,3.31,"16.6%",5439,6109,1395,922,303,29,141,669,640,533,1157,23795,8834,14961,"8.7%","18.9%",0.325,0.401,0.725,19.1,"65.7%","88.6%"
"9",2015,"COL",68,94,36,162,7.02,3.65,1.15,0.318,"69.9%","47.7%","13.2%",5.04,4.56,8.3,"44.3%",5.84,"17.6%","9.2%",799,1.92,"8.4%",5572,6071,1479,970,274,49,186,737,702,388,1283,22661,7783,14878,"6.4%","21.1%",0.315,0.432,0.748,9.7,"69.0%","85.6%"
"10",2015,"DET",74,87,35,161,6.84,3.04,1.2,0.298,"69.7%","42.9%","12.0%",4.64,4.46,11.7,"45.8%",4.94,"17.8%","7.9%",746,2.25,"9.9%",5605,6159,1515,1026,289,49,151,689,660,455,1259,23702,8399,15303,"7.4%","20.4%",0.328,0.42,0.748,17.1,"68.9%","86.8%"
"11",2015,"HOU",86,76,39,162,7.99,2.64,0.92,0.285,"73.8%","47.3%","10.9%",3.57,3.66,18.9,"43.6%",3.83,"21.5%","7.1%",572,3.03,"14.4%",5459,6073,1363,829,278,26,230,729,691,486,1392,23543,8633,14910,"8.0%","22.9%",0.315,0.437,0.752,26.1,"70.2%","82.5%"
"12",2015,"KCR",95,67,56,162,7.19,3.03,0.96,0.286,"75.0%","42.8%","9.9%",3.74,4.04,13.8,"45.3%",4.49,"19.0%","8.0%",603,2.37,"11.0%",5575,6116,1497,1016,300,42,139,724,689,383,973,22705,8075,14630,"6.3%","15.9%",0.322,0.412,0.734,21.8,"66.5%","89.9%"
"13",2015,"LAA",85,77,46,162,7.63,2.91,1.04,0.285,"73.3%","41.5%","10.0%",3.94,4.05,12.2,"45.0%",4.09,"20.0%","7.6%",631,2.62,"12.4%",5417,5990,1331,891,243,21,176,661,621,435,1150,22727,8257,14470,"7.3%","19.2%",0.307,0.396,0.702,17.1,"64.8%","88.6%"
"14",2015,"LAD",92,70,47,162,8.69,2.46,0.9,0.296,"74.7%","50.1%","12.1%",3.46,3.4,19.7,"45.1%",3.55,"23.5%","6.7%",555,3.53,"16.9%",5385,6090,1346,870,263,26,187,667,638,563,1258,23602,8783,14819,"9.2%","20.7%",0.326,0.413,0.739,29,"67.9%","85.9%"
"15",2015,"MIA",71,91,35,162,7.27,3.2,0.89,0.294,"72.3%","44.5%","9.5%",4.04,3.98,12.2,"44.9%",4.21,"19.0%","8.4%",640,2.27,"10.6%",5463,5988,1420,1024,236,40,120,613,575,375,1150,22254,7821,14433,"6.3%","19.2%",0.31,0.384,0.694,15.3,"64.8%","88.1%"
"16",2015,"MIL",68,94,40,162,7.9,3.24,1.1,0.303,"72.1%","46.1%","12.7%",4.28,4.17,9.9,"43.6%",4.68,"20.5%","8.4%",682,2.44,"12.1%",5480,6024,1378,925,274,34,145,655,624,412,1299,22558,7693,14865,"6.8%","21.6%",0.307,0.393,0.7,12.6,"68.5%","86.7%"
"17",2015,"MIN",83,79,45,162,6.52,2.58,1.02,0.3,"72.8%","44.0%","10.4%",4.07,4.1,16,"44.9%",4.66,"17.0%","6.7%",653,2.53,"10.3%",5467,6017,1349,872,277,44,156,696,661,439,1264,23100,8133,14967,"7.3%","21.0%",0.305,0.399,0.704,12.1,"66.0%","86.7%"
"18",2015,"NYM",90,72,50,162,8.23,2.36,0.94,0.288,"74.3%","46.3%","10.8%",3.45,3.53,19,"46.2%",3.63,"22.1%","6.3%",561,3.49,"15.8%",5527,6145,1351,862,295,17,177,683,654,488,1290,23931,8707,15224,"7.9%","21.0%",0.312,0.4,0.712,24.6,"66.7%","87.6%"
"19",2015,"NYY",87,75,48,162,8.46,2.93,1.12,0.3,"73.8%","47.0%","13.6%",4.03,3.97,18.4,"44.5%",4.43,"22.1%","7.7%",653,2.89,"14.5%",5567,6268,1397,894,272,19,212,764,737,554,1227,24523,9194,15329,"8.8%","19.6%",0.323,0.421,0.744,20.7,"64.4%","87.8%"
"20",2015,"OAK",68,94,28,162,7.34,2.95,1.07,0.289,"71.0%","45.0%","11.4%",4.16,4.13,13,"45.8%",4.35,"19.2%","7.7%",668,2.49,"11.5%",5600,6171,1405,936,277,46,146,694,661,475,1119,23809,8590,15219,"7.7%","18.1%",0.312,0.395,0.707,11.3,"63.2%","89.2%"
"21",2015,"PHI",63,99,35,162,7.22,3.06,1.2,0.316,"71.1%","44.0%","12.2%",4.69,4.4,10.3,"44.4%",4.8,"18.2%","7.7%",749,2.36,"10.5%",5529,6053,1374,935,272,37,130,626,586,387,1274,22644,7801,14843,"6.4%","21.0%",0.303,0.382,0.684,8.8,"67.7%","87.3%"
"22",2015,"PIT",98,64,54,162,8.08,2.74,0.66,0.302,"75.0%","50.4%","9.4%",3.23,3.36,19.5,"43.0%",3.87,"21.5%","7.3%",534,2.95,"14.2%",5631,6285,1462,1003,292,27,140,697,661,461,1322,23889,8560,15329,"7.3%","21.0%",0.323,0.396,0.719,24,"67.1%","85.7%"
"23",2015,"SDP",74,88,41,162,8.7,3.22,1.07,0.303,"71.1%","46.9%","13.3%",4.09,3.93,9.7,"43.4%",4.15,"22.9%","8.5%",655,2.7,"14.4%",5457,6019,1324,880,260,36,148,650,623,426,1327,23200,8359,14841,"7.1%","22.0%",0.3,0.385,0.685,16.4,"66.9%","85.8%"
