"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR"
"2020","ATL","900","2344","103","348","338","23","10.2%","24.4%",".215",".322",".268",".349",".483",".355","","120","3.7","63.0","3.9","12.6"
"2019","HOU","2309","6394","288","920","891","67","10.1%","18.2%",".221",".296",".274",".352",".495",".355","","124","-9.5","187.8","13.9","42.0"
"2020","LAD","921","2316","118","349","327","29","9.8%","20.3%",".227",".276",".256",".338",".483",".350","","120","-5.1","54.7","-6.5","13.0"
"2017","HOU","2313","6271","238","896","854","98","8.1%","17.3%",".196",".309",".282",".346",".478",".349","","121","-0.4","162.6","1.5","37.2"
"2020","NYM","902","2279","86","286","278","20","8.6%","21.9%",".187",".320",".272",".348",".459",".347","","123","-11.1","55.1","-11.0","10.2"
"2019","MIN","2320","6392","307","939","906","28","8.2%","20.9%",".224",".300",".270",".338",".494",".347","","116","-8.4","125.4","-30.4","31.7"
"2016","BOS","2284","6320","208","878","836","83","8.8%","18.4%",".179",".320",".282",".348",".461",".346","","113","10.6","109.9","-9.6","32.3"
"2019","NYY","2312","6245","306","943","904","55","9.1%","23.0%",".222",".306",".267",".339",".490",".346","","117","-0.8","132.5","-42.1","30.7"
"2015","TOR","2337","6231","232","891","852","88","9.1%","18.5%",".188",".298",".269",".340",".457",".344","","117","11.0","135.9","6.6","36.7"
"2020","SDP","913","2231","95","325","312","55","9.1%","21.5%",".209",".291",".257",".333",".466",".341","","116","2.1","48.9","5.1","13.3"
"2020","NYY","878","2210","94","315","301","27","11.4%","21.7%",".200",".280",".247",".342",".447",".341","","117","6.0","51.9","-7.4","10.1"
"2021","TOR","2383","6070","262","846","816","81","8.2%","20.1%",".200",".296",".266",".330",".466",".340","","112","2.8","95.1","-4.6","29.8"
"2018","BOS","2345","6302","208","876","829","125","9.0%","19.9%",".185",".309",".268",".339",".453",".340","","111","-5.1","74.1","26.0","32.3"
"2016","COL","2369","6236","204","845","805","66","7.9%","21.3%",".182",".326",".275",".336",".457",".339","","94","1.1","-45.0","53.4","20.9"
"2019","LAD","2413","6281","279","886","861","57","9.7%","21.6%",".215",".291",".257",".338",".472",".338","","110","11.9","92.5","60.3","34.3"
"2019","BOS","2455","6475","245","901","857","68","9.1%","21.3%",".197",".313",".269",".340",".466",".338","","106","-7.0","41.7","12.6","28.0"
"2020","SFG","974","2259","81","299","290","19","8.6%","22.1%",".187",".311",".263",".335",".451",".337","","112","-3.2","30.8","-12.8","9.9"
"2022","LAD","2326","6247","212","847","812","98","9.7%","22.0%",".185",".302",".257",".333",".442",".337","","119","19.9","159.3","1.5","38.9"
"2021","HOU","2319","6291","221","863","834","53","9.0%","19.4%",".177",".303",".267",".339",".444",".336","","114","-6.2","104.5","18.0","33.7"
"2020","PHI","875","2223","82","306","289","35","10.3%","21.6%",".183",".299",".257",".342",".439",".336","","108","3.3","27.0","-21.9","6.3"
"2017","CLE","2367","6234","212","818","780","88","9.7%","18.5%",".186",".295",".263",".339",".449",".336","","105","11.1","48.8","32.7","28.9"
"2019","WSN","2327","6267","231","873","824","116","9.3%","20.9%",".190",".306",".265",".342",".454",".336","","104","3.7","34.7","55.4","28.2"
"2017","NYY","2294","6354","241","858","821","90","9.7%","21.8%",".185",".304",".262",".339",".447",".336","","109","11.1","82.3","-8.8","28.5"
"2018","NYY","2269","6271","267","851","821","63","10.0%","22.7%",".202",".285",".249",".329",".451",".335","","112","14.6","102.8","-25.4","29.9"
"2020","CHW","889","2267","96","306","294","20","7.9%","25.2%",".192",".314",".261",".326",".453",".334","","111","-0.5","30.6","6.7","13.3"
"2016","CHC","2332","6335","199","808","767","66","10.4%","21.1%",".173",".302",".256",".343",".429",".333","","106","17.3","61.3","90.5","35.9"
"2020","BOS","884","2304","81","292","278","31","8.1%","23.7%",".180",".321",".265",".330",".445",".333","","105","-0.5","14.0","-0.1","7.3"
"2021","BOS","2353","6122","219","829","783","40","8.4%","22.6%",".188",".309",".261",".328",".449",".333","","106","-4.4","39.0","-32.1","21.6"
"2018","LAD","2574","6358","235","804","756","75","10.2%","22.6%",".191",".294",".250",".333",".442",".333","","111","11.4","99.3","35.8","34.1"
"2017","COL","2374","6201","192","824","793","59","8.4%","22.7%",".171",".332",".273",".338",".444",".332","","88","-6.4","-105.8","39.0","14.3"
"2019","ATL","2411","6302","249","855","824","89","9.8%","23.3%",".195",".305",".258",".336",".452",".332","","101","11.0","18.3","64.5","27.6"
"2022","TOR","2445","6158","200","775","756","67","8.1%","20.2%",".168",".305",".264",".329",".431",".331","","118","-10.5","111.1","-9.9","31.2"
"2017","CHC","2420","6283","223","822","785","62","9.9%","22.3%",".182",".302",".255",".338",".437",".331","","101","-6.8","4.8","47.7","26.4"
"2017","WSN","2322","6214","215","819","796","108","8.7%","21.4%",".183",".311",".266",".332",".449",".331","","99","11.9","2.4","18.0","23.0"
"2018","CLE","2413","6300","216","818","786","135","8.8%","18.9%",".176",".291",".259",".332",".434",".330","","106","13.7","55.1","-12.4","26.4"
"2022","ATL","2259","6082","243","789","753","87","7.7%","24.6%",".190",".303",".253",".317",".443",".330","","111","9.7","85.4","-14.7","28.9"
"2016","DET","2295","6127","211","750","719","58","8.0%","21.3%",".171",".312",".267",".331",".438",".330","","106","-16.9","27.0","-41.4","19.9"
"2020","WSN","870","2218","66","293","279","33","8.7%","20.3%",".170",".308",".264",".336",".433",".330","","104","-3.6","9.0","-24.4","4.3"
"2019","CHC","2429","6195","256","814","783","45","9.4%","23.6%",".200",".297",".252",".331",".452",".330","","100","-2.2","0.6","65.2","25.6"
"2017","LAD","2464","6191","221","770","730","77","10.5%","22.3%",".188",".293",".249",".334",".437",".330","","104","5.8","40.7","53.8","30.3"
"2021","SFG","2597","6196","241","804","768","66","9.7%","23.6%",".191",".295",".249",".329",".440",".329","","107","-6.4","46.0","54.6","30.9"
"2018","OAK","2403","6255","227","813","778","35","8.8%","22.1%",".187",".294",".252",".325",".439",".329","","112","-5.8","83.2","-1.3","30.3"
"2017","ARI","2360","6224","220","812","776","103","9.3%","23.4%",".190",".306",".254",".329",".445",".329","","95","12.4","-27.9","32.7","21.5"
"2020","LAA","890","2308","85","294","285","21","10.4%","21.2%",".182",".284",".248",".332",".430",".329","","106","-3.5","14.9","-26.1","7.2"
"2021","CHW","2292","6084","190","796","757","57","9.6%","22.8%",".166",".310",".256",".336",".422",".329","","108","-0.9","59.7","-35.4","23.2"
"2016","STL","2400","6223","225","779","745","35","8.5%","21.2%",".187",".294",".255",".325",".443",".329","","105","-17.1","18.9","24.7","24.5"
"2020","TOR","910","2263","88","302","288","33","9.0%","22.4%",".186",".297",".255",".325",".441",".329","","104","-2.9","7.8","-16.4","5.0"
"2017","MIN","2324","6261","206","815","781","95","9.5%","21.4%",".174",".306",".260",".334",".434",".329","","103","14.4","39.7","35.0","28.3"
"2019","COL","2452","6288","224","835","803","71","7.8%","23.9%",".190",".321",".265",".326",".456",".328","","87","1.6","-105.0","25.7","11.8"
"2019","OAK","2363","6269","257","845","800","49","9.2%","21.3%",".199",".282",".249",".327",".448",".327","","107","-1.7","55.3","-10.4","26.4"
"2021","CIN","2472","6162","222","786","756","36","9.0%","23.1%",".182",".296",".249",".328",".431",".327","","97","-15.1","-40.3","-2.6","16.4"
"2022","NYY","2342","6172","254","807","764","102","10.0%","22.5%",".185",".276",".241",".325",".426",".327","","115","-5.7","98.8","39.6","35.1"
"2021","LAD","2459","6239","237","830","799","65","9.8%","22.6%",".185",".284",".244",".330",".429",".327","","105","9.3","48.9","33.9","29.3"
"2016","TOR","2349","6233","221","759","728","54","10.1%","21.9%",".178",".289",".248",".330",".426",".327","","104","-9.0","21.9","-1.8","23.8"
"2018","HOU","2348","6146","205","797","763","71","9.2%","19.5%",".170",".289",".255",".329",".425",".327","","110","-7.0","64.6","39.3","32.1"
"2016","CLE","2366","6155","185","777","733","134","8.6%","20.2%",".168",".304",".262",".329",".430",".326","","100","15.8","14.1","10.7","24.0"
"2022","STL","2355","6165","197","772","739","95","8.7%","19.9%",".168",".289",".252",".325",".420",".326","","114","4.7","102.8","2.8","32.8"
"2021","WSN","2386","6113","182","724","686","56","9.4%","21.3%",".159",".307",".258",".337",".417",".326","","101","-25.4","-15.3","8.9","19.9"
"2022","NYM","2340","6176","171","772","735","62","8.3%","19.7%",".153",".302",".259",".332",".412",".326","","116","-10.7","103.7","-13.0","31.3"
"2017","STL","2416","6219","196","761","728","81","9.5%","21.7%",".170",".304",".256",".334",".426",".326","","101","2.0","8.4","39.9","25.8"
"2016","BAL","2257","6089","253","744","710","19","7.7%","21.7%",".188",".291",".256",".317",".443",".326","","103","2.5","22.6","-21.4","21.4"
"2018","WSN","2441","6288","191","771","737","119","10.0%","20.5%",".164",".297",".254",".335",".419",".325","","101","8.4","14.5","21.3","23.7"
