team,division,playoff2022,ws2022,playoff2021,ws2021,playoff2020,ws2020,playoff2019,ws2019,playoff2018,ws2018,playoff2017,ws2017,playoff2016,ws2016,playoff2015,ws2015
whitesox,alc,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
guardians,alc,1,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0
tigers,alc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
royals,alc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
twins,alc,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
orioles,ale,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
redsox,ale,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0
yankees,ale,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
rays,ale,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
bluejays,ale,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
astros,alw,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0
angels,alw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
athletics,alw,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
mariners,alw,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rangers,alw,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
cubs,nlc,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
reds,nlc,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
brewers,nlc,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
pirates,nlc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
cardinals,nlc,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
phillies,nle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marlins,nle,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mets,nle,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
nationals,nle,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0
braves,nle,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0
dbacks,nlw,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
rockies,nlw,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
dodgers,nlw,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0
padres,nlw,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
giants,nlw,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
