"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR"
"2017","CLE","102","60","37","659","162","1440.2","10.08","2.54","1.02",".303","77.5%","44.1%","13.0%","93.2","3.30","","3.33","3.41","30.4"
"2018","HOU","103","59","46","672","162","1455.0","10.44","2.69","0.94",".283","77.9%","44.0%","11.6%","94.9","3.11","","3.23","3.36","28.6"
"2021","CHW","93","69","43","674","162","1403.1","10.18","3.11","1.17",".288","74.4%","41.2%","12.8%","95.5","3.73","","3.74","3.85","27.6"
"2021","LAD","106","56","56","762","162","1452.0","9.91","3.01","1.00",".260","76.5%","44.5%","11.8%","94.1","3.03","","3.54","3.75","27.1"
"2022","HOU","106","56","53","642","162","1445.1","9.49","2.85","0.83",".268","77.2%","42.7%","9.3%","94.4","2.90","","3.28","3.55","27.0"
"2019","LAD","106","56","44","707","162","1445.2","9.46","2.44","1.15",".271","74.7%","44.9%","14.1%","93.5","3.39","","3.73","3.87","25.4"
"2022","LAD","111","51","43","725","162","1451.1","9.08","2.52","0.94",".255","78.3%","42.5%","9.8%","93.2","2.80","","3.45","3.67","24.6"
"2019","TBR","96","66","46","765","162","1474.1","9.90","2.77","1.10",".290","73.7%","44.1%","13.4%","94.2","3.67","","3.65","3.89","24.5"
"2018","NYY","100","62","49","670","162","1456.1","10.10","3.05","1.09",".300","73.9%","42.9%","12.9%","95.1","3.78","","3.63","3.61","24.5"
"2019","HOU","107","55","47","654","162","1462.1","10.28","2.76","1.42",".270","76.8%","43.6%","16.7%","94.6","3.66","","3.98","3.80","24.2"
"2019","MIN","101","61","50","686","162","1463.1","9.00","2.78","1.22",".309","71.8%","41.8%","13.4%","93.0","4.18","","4.03","4.27","23.7"
"2016","WSN","95","67","46","670","162","1459.2","9.10","2.89","0.96",".288","75.0%","43.3%","10.9%","93.8","3.52","","3.58","3.82","23.5"
"2021","MIL","95","67","44","695","162","1436.0","10.14","3.37","1.05",".275","74.7%","44.5%","13.3%","93.2","3.50","","3.72","3.75","23.4"
